Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariableInternal,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariableProtectedInternal,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodInternal,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodProtectedInternal,CountDeclMethodPublic,CountDeclProperty,CountDeclPropertyAuto,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Internal Class,"ProgettoBirra.FormAggiungiRic",1,1,1,1,40,0,31,9,1,14,11,0,,0,0,,,,4,12,0,12,0,0,0,4,13,0,2,1,0,1,0,0,,200,,,,8,,,,143,,,23,112,47,,,,0,2,,,,122,129,23,,,107,,,,,,,,2,2,3,1,,1,1,,66,43,0.33,5,5,6,4
Protected Method,"ProgettoBirra.FormAggiungiRic.Dispose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,0,,,,8,,,1,3,0,,,,0,0,1,2,0,2,4,1,,,3,,,2,2,3,1,0,,,,,0,,1,0,,,0.00,2,2,3,1
Public Constructor,"ProgettoBirra.FormAggiungiRic.FormAggiungiRic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,0,,,,4,,,1,1,0,,,,0,0,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Method,"ProgettoBirra.FormAggiungiRic.InitializeComponent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,139,,,,2,,,,101,,,1,98,36,,,,0,0,15,1,0,98,99,1,,,98,,,1,1,1,1,0,,,,,0,,0,0,,,0.36,1,1,1,1
Private Method,"ProgettoBirra.FormAggiungiRic.buttonAggiungiBirra_Click",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,,,,0,,,,12,,,6,9,0,,,,0,0,5,1,0,9,10,6,,,5,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Internal Class,"ProgettoBirra.FormAggiuntaAtt",1,1,1,1,24,0,18,5,1,12,9,0,,0,0,,,,4,8,0,8,0,0,0,4,13,0,2,1,0,1,0,0,,130,,,,7,,,,89,,,14,62,32,,,,0,2,,,,68,75,14,,,61,,,,,,,,2,2,3,1,,1,1,,65,34,0.36,5,5,6,4
Protected Method,"ProgettoBirra.FormAggiuntaAtt.Dispose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,0,,,,8,,,1,3,0,,,,0,0,1,2,0,2,4,1,,,3,,,2,2,3,1,0,,,,,0,,1,0,,,0.00,2,2,3,1
Public Constructor,"ProgettoBirra.FormAggiuntaAtt.FormAggiuntaAtt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,0,,,,5,,,1,2,0,,,,0,0,4,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Method,"ProgettoBirra.FormAggiuntaAtt.InitializeComponent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,78,,,,1,,,,56,,,1,53,21,,,,0,0,10,1,0,53,54,1,,,53,,,1,1,1,1,0,,,,,0,,0,0,,,0.38,1,1,1,1
Private Method,"ProgettoBirra.FormAggiuntaAtt.buttonCreaAtt_Click",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,0,,,,6,,,1,3,0,,,,0,0,4,1,0,3,4,1,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Internal Class,"ProgettoBirra.FormAggiuntaProd",1,1,1,1,24,0,18,5,1,13,10,0,,0,0,,,,4,8,0,8,0,0,0,4,13,0,2,1,0,1,0,0,,131,,,,8,,,,89,,,14,62,32,,,,0,2,,,,68,75,14,,,61,,,,,,,,2,2,3,1,,1,1,,65,34,0.36,5,5,6,4
Protected Method,"ProgettoBirra.FormAggiuntaProd.Dispose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,0,,,,8,,,1,3,0,,,,0,0,1,2,0,2,4,1,,,3,,,2,2,3,1,0,,,,,0,,1,0,,,0.00,2,2,3,1
Public Constructor,"ProgettoBirra.FormAggiuntaProd.FormAggiuntaProd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,0,,,,5,,,1,2,0,,,,0,0,4,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Method,"ProgettoBirra.FormAggiuntaProd.InitializeComponent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,79,,,,2,,,,56,,,1,53,21,,,,0,0,10,1,0,53,54,1,,,53,,,1,1,1,1,0,,,,,0,,0,0,,,0.38,1,1,1,1
Private Method,"ProgettoBirra.FormAggiuntaProd.buttonSalvaProd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,,,,0,,,,6,,,1,3,0,,,,0,0,4,1,0,3,4,1,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Internal Class,"ProgettoBirra.FormGestioneAttrezzatura",1,1,1,1,15,0,13,1,1,18,13,0,,0,0,,,,5,4,0,4,0,0,0,5,14,0,3,1,0,1,0,0,,108,,,,9,,,,77,,,14,47,20,,,,0,2,,,,49,59,15,,,47,,,,,,,,2,2,3,1,,1,1,,70,50,0.26,8,8,9,5
Protected Method,"ProgettoBirra.FormGestioneAttrezzatura.Dispose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,0,,,,8,,,1,3,0,,,,0,0,1,2,0,2,4,1,,,3,,,2,2,3,1,0,,,,,0,,1,0,,,0.00,2,2,3,1
Public Constructor,"ProgettoBirra.FormGestioneAttrezzatura.FormGestioneAttrezzatura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,,,,1,,,,11,,,1,6,0,,,,0,0,8,2,0,7,9,2,,,7,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,"ProgettoBirra.FormGestioneAttrezzatura.InitializeComponent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,41,,,,1,,,,31,,,1,28,9,,,,0,0,5,1,0,28,29,1,,,28,,,1,1,1,1,0,,,,,0,,0,0,,,0.29,1,1,1,1
Private Method,"ProgettoBirra.FormGestioneAttrezzatura.buttonAggiungiAtt_Click",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,0,,,,7,,,2,4,0,,,,0,0,4,1,0,4,5,2,,,4,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Method,"ProgettoBirra.FormGestioneAttrezzatura.listBox1_SelectedIndexChanged_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,0,,,,10,,,3,5,0,,,,0,0,4,2,0,4,6,3,,,5,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Internal Class,"ProgettoBirra.FormGestioneProdotti",1,1,1,1,15,0,13,1,1,18,13,0,,0,0,,,,5,4,0,4,0,0,0,5,14,0,3,1,0,1,0,0,,108,,,,8,,,,78,,,14,48,20,,,,0,2,,,,50,60,15,,,48,,,,,,,,2,2,3,1,,1,1,,70,44,0.26,8,8,9,5
Protected Method,"ProgettoBirra.FormGestioneProdotti.Dispose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,0,,,,8,,,1,3,0,,,,0,0,1,2,0,2,4,1,,,3,,,2,2,3,1,0,,,,,0,,1,0,,,0.00,2,2,3,1
Public Constructor,"ProgettoBirra.FormGestioneProdotti.FormGestioneProdotti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,,,,0,,,,11,,,1,6,0,,,,0,0,8,2,0,7,9,2,,,7,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,"ProgettoBirra.FormGestioneProdotti.InitializeComponent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,41,,,,1,,,,31,,,1,28,9,,,,0,0,5,1,0,28,29,1,,,28,,,1,1,1,1,0,,,,,0,,0,0,,,0.29,1,1,1,1
Private Method,"ProgettoBirra.FormGestioneProdotti.buttonAggiungi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,0,,,,7,,,2,4,0,,,,0,0,4,1,0,4,5,2,,,4,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Method,"ProgettoBirra.FormGestioneProdotti.listBox1_SelectedIndexChanged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,0,,,,11,,,3,6,0,,,,0,0,5,2,0,5,7,3,,,6,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Public Class,"ProgettoBirra.FormGestioneRicette",1,1,1,1,15,0,13,1,1,18,13,0,,0,0,,,,5,4,0,4,0,0,0,5,14,0,3,1,0,1,0,0,,108,,,,9,,,,77,,,14,47,20,,,,0,2,,,,49,59,15,,,47,,,,,,,,2,2,3,1,,1,1,,70,50,0.26,8,8,9,5
Protected Method,"ProgettoBirra.FormGestioneRicette.Dispose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,0,,,,8,,,1,3,0,,,,0,0,1,2,0,2,4,1,,,3,,,2,2,3,1,0,,,,,0,,1,0,,,0.00,2,2,3,1
Public Constructor,"ProgettoBirra.FormGestioneRicette.FormGestioneRicette",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,,,,1,,,,11,,,1,6,0,,,,0,0,8,2,0,7,9,2,,,7,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,"ProgettoBirra.FormGestioneRicette.InitializeComponent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,41,,,,1,,,,31,,,1,28,9,,,,0,0,5,1,0,28,29,1,,,28,,,1,1,1,1,0,,,,,0,,0,0,,,0.29,1,1,1,1
Private Method,"ProgettoBirra.FormGestioneRicette.buttonAggiungi_Click",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,0,,,,7,,,2,4,0,,,,0,0,4,1,0,4,5,2,,,4,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Method,"ProgettoBirra.FormGestioneRicette.listBox1_SelectedIndexChanged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,0,,,,10,,,3,5,0,,,,0,0,4,2,0,4,6,3,,,5,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Public Class,"ProgettoBirra.FormGestioneUtente",1,1,1,1,28,1,22,4,1,14,12,0,,0,0,,,,6,10,0,10,0,0,0,6,15,0,4,1,0,1,0,0,,208,,,,15,,,,153,,,18,108,38,,,,0,2,,,,111,123,18,,,105,,,,,,,,2,2,3,1,,1,1,,68,56,0.25,10,10,11,6
